img1,img2,identicas,fase
C381_S2_I5.jpg,C253_S2_I15.jpg,0,2
C465_S2_I13.jpg,C361_S2_I14.jpg,0,2
C1_S2_I2.jpg,C369_S2_I11.jpg,0,2
C321_S1_I10.jpg,C455_S1_I2.jpg,0,1
C361_S2_I4.jpg,C107_S2_I9.jpg,0,2
C459_S2_I14.jpg,C391_S2_I15.jpg,0,2
C269_S1_I11.jpg,C115_S1_I15.jpg,0,0
C103_S2_I9.jpg,C93_S2_I13.jpg,0,2
C43_S2_I15.jpg,C329_S2_I4.jpg,0,2
C37_S1_I9.jpg,C221_S1_I2.jpg,0,1
C299_S2_I8.jpg,C385_S2_I6.jpg,0,2
C243_S2_I1.jpg,C47_S2_I4.jpg,0,2
C203_S1_I8.jpg,C479_S1_I2.jpg,0,1
C449_S2_I8.jpg,C129_S2_I9.jpg,0,2
C381_S2_I5.jpg,C419_S2_I15.jpg,0,2
C29_S2_I12.jpg,C309_S2_I4.jpg,0,2
C47_S2_I6.jpg,C359_S2_I3.jpg,0,2
C101_S2_I3.jpg,C347_S2_I4.jpg,0,2
C385_S2_I7.jpg,C395_S2_I13.jpg,0,2
C141_S1_I5.jpg,C317_S1_I14.jpg,0,1
C201_S2_I10.jpg,C519_S2_I3.jpg,0,2
C317_S2_I15.jpg,C251_S2_I8.jpg,0,2
C127_S2_I7.jpg,C269_S2_I10.jpg,0,2
C245_S2_I4.jpg,C43_S2_I9.jpg,0,2
C329_S2_I14.jpg,C251_S2_I2.jpg,0,2
C239_S2_I14.jpg,C129_S2_I2.jpg,0,2
C355_S1_I8.jpg,C309_S1_I13.jpg,0,1
C185_S2_I4.jpg,C433_S2_I1.jpg,0,2
C11_S1_I8.jpg,C217_S1_I5.jpg,0,1
C109_S1_I3.jpg,C441_S1_I6.jpg,0,0
C25_S2_I2.jpg,C451_S2_I10.jpg,0,2
C277_S1_I7.jpg,C403_S1_I3.jpg,0,1
C519_S1_I3.jpg,C257_S1_I2.jpg,0,1
C495_S1_I7.jpg,C119_S1_I5.jpg,0,1
C145_S1_I15.jpg,C441_S1_I12.jpg,0,1
C259_S2_I2.jpg,C131_S2_I10.jpg,0,2
C321_S1_I10.jpg,C457_S1_I9.jpg,0,0
C149_S1_I13.jpg,C183_S1_I10.jpg,0,1
C11_S1_I6.jpg,C409_S1_I13.jpg,0,0
C381_S2_I1.jpg,C309_S2_I1.jpg,0,2
C459_S1_I5.jpg,C223_S1_I6.jpg,0,1
C205_S1_I11.jpg,C519_S1_I3.jpg,0,0
C367_S1_I10.jpg,C439_S1_I4.jpg,0,0
C205_S2_I12.jpg,C519_S2_I2.jpg,0,2
C185_S1_I13.jpg,C153_S1_I13.jpg,0,1
C381_S2_I6.jpg,C443_S2_I5.jpg,0,2
C361_S2_I8.jpg,C261_S2_I4.jpg,0,2
C243_S2_I2.jpg,C61_S2_I8.jpg,0,2
C91_S2_I5.jpg,C133_S2_I11.jpg,0,2
C343_S1_I14.jpg,C481_S1_I9.jpg,0,0
C157_S1_I7.jpg,C57_S1_I12.jpg,0,1
C139_S1_I15.jpg,C141_S1_I5.jpg,0,0
C209_S1_I13.jpg,C479_S1_I15.jpg,0,0
C49_S2_I9.jpg,C369_S2_I3.jpg,0,2
C47_S2_I9.jpg,C131_S2_I11.jpg,0,2
C235_S2_I1.jpg,C107_S2_I1.jpg,0,2
C273_S1_I7.jpg,C149_S1_I7.jpg,0,0
C457_S1_I7.jpg,C455_S1_I6.jpg,0,0
C449_S2_I15.jpg,C405_S2_I10.jpg,0,2
C243_S1_I12.jpg,C299_S1_I9.jpg,0,1
C91_S2_I13.jpg,C89_S2_I9.jpg,0,2
C253_S2_I1.jpg,C411_S2_I13.jpg,0,2
C247_S2_I5.jpg,C327_S2_I6.jpg,0,2
C245_S2_I14.jpg,C93_S2_I13.jpg,0,2
C151_S1_I1.jpg,C323_S1_I14.jpg,0,1
C235_S2_I2.jpg,C227_S2_I12.jpg,0,2
C91_S2_I5.jpg,C225_S2_I8.jpg,0,2
C419_S2_I14.jpg,C251_S2_I13.jpg,0,2
C123_S2_I4.jpg,C445_S2_I12.jpg,0,2
C497_S1_I1.jpg,C459_S1_I14.jpg,0,1
C459_S2_I14.jpg,C499_S2_I12.jpg,0,2
C7_S1_I3.jpg,C425_S1_I18.jpg,0,1
C47_S1_I12.jpg,C141_S1_I15.jpg,0,1
C387_S1_I11.jpg,C423_S1_I4.jpg,0,1
C167_S1_I8.jpg,C497_S1_I13.jpg,0,0
C411_S2_I7.jpg,C451_S2_I1.jpg,0,2
C345_S1_I9.jpg,C19_S1_I11.jpg,0,1
C105_S2_I4.jpg,C123_S2_I12.jpg,0,2
C239_S2_I15.jpg,C451_S2_I7.jpg,0,2
C69_S1_I9.jpg,C247_S1_I5.jpg,0,0
C101_S2_I7.jpg,C129_S2_I15.jpg,0,2
C227_S2_I10.jpg,C29_S2_I15.jpg,0,2
C441_S2_I1.jpg,C339_S2_I9.jpg,0,2
C411_S2_I7.jpg,C247_S2_I2.jpg,0,2
C239_S2_I6.jpg,C167_S2_I1.jpg,0,2
C9_S1_I8.jpg,C355_S1_I14.jpg,0,0
C257_S2_I8.jpg,C245_S2_I14.jpg,0,2
C197_S1_I12.jpg,C307_S1_I8.jpg,0,0
C125_S1_I8.jpg,C419_S1_I7.jpg,0,1
C441_S1_I8.jpg,C435_S1_I8.jpg,0,0
C263_S2_I7.jpg,C431_S2_I12.jpg,0,2
C125_S1_I15.jpg,C123_S1_I7.jpg,0,1
C1_S1_I10.jpg,C387_S1_I3.jpg,0,0
C17_S2_I14.jpg,C17_S2_I15.jpg,1,2
C131_S2_I10.jpg,C105_S2_I11.jpg,0,2
C133_S1_I1.jpg,C313_S1_I1.jpg,0,0
C385_S1_I5.jpg,C335_S1_I13.jpg,0,1
C177_S2_I8.jpg,C433_S2_I4.jpg,0,2
C243_S2_I6.jpg,C25_S2_I4.jpg,0,2
C217_S1_I4.jpg,C177_S1_I12.jpg,0,1
C105_S1_I3.jpg,C469_S1_I14.jpg,0,0
C177_S2_I15.jpg,C259_S2_I14.jpg,0,2
C485_S1_I6.jpg,C381_S1_I9.jpg,0,1
C73_S2_I9.jpg,C89_S2_I3.jpg,0,2
C81_S1_I9.jpg,C329_S1_I10.jpg,0,0
C123_S1_I8.jpg,C365_S1_I3.jpg,0,0
C149_S2_I10.jpg,C467_S2_I6.jpg,0,2
C361_S2_I3.jpg,C375_S2_I1.jpg,0,2
C95_S1_I5.jpg,C107_S1_I7.jpg,0,0
C339_S1_I14.jpg,C451_S1_I5.jpg,0,0
C97_S1_I14.jpg,C63_S1_I1.jpg,0,0
C127_S1_I13.jpg,C53_S1_I8.jpg,0,1
C187_S1_I7.jpg,C63_S1_I11.jpg,0,1
C269_S2_I1.jpg,C443_S2_I9.jpg,0,2
C311_S2_I12.jpg,C347_S2_I15.jpg,0,2
C485_S1_I9.jpg,C495_S1_I11.jpg,0,1
C441_S1_I11.jpg,C217_S1_I15.jpg,0,0
C203_S1_I5.jpg,C371_S1_I3.jpg,0,0
C17_S2_I10.jpg,C237_S2_I6.jpg,0,2
C261_S1_I7.jpg,C135_S1_I6.jpg,0,0
C311_S2_I13.jpg,C329_S2_I12.jpg,0,2
C133_S1_I3.jpg,C43_S1_I1.jpg,0,0
C101_S1_I4.jpg,C3_S1_I15.jpg,0,1
C271_S1_I5.jpg,C485_S1_I9.jpg,0,0
C79_S2_I10.jpg,C317_S2_I4.jpg,0,2
C433_S2_I5.jpg,C61_S2_I13.jpg,0,2
C97_S1_I14.jpg,C211_S1_I14.jpg,0,0
C209_S1_I2.jpg,C281_S1_I3.jpg,0,1
C1_S2_I3.jpg,C367_S2_I1.jpg,0,2
C259_S2_I9.jpg,C385_S2_I6.jpg,0,2
C385_S2_I9.jpg,C225_S2_I9.jpg,0,2
C369_S2_I4.jpg,C485_S2_I9.jpg,0,2
C293_S1_I1.jpg,C117_S1_I7.jpg,0,1
C231_S1_I10.jpg,C477_S1_I1.jpg,0,1
C381_S2_I10.jpg,C305_S2_I1.jpg,0,2
C473_S1_I15.jpg,C239_S1_I4.jpg,0,1
C259_S2_I1.jpg,C29_S2_I10.jpg,0,2
C501_S1_I9.jpg,C443_S1_I7.jpg,0,1
C181_S1_I6.jpg,C475_S1_I7.jpg,0,1
C43_S2_I10.jpg,C29_S2_I13.jpg,0,2
C23_S1_I15.jpg,C521_S1_I5.jpg,0,1
C485_S2_I1.jpg,C177_S2_I13.jpg,0,2
C109_S1_I8.jpg,C291_S1_I4.jpg,0,0
C19_S1_I10.jpg,C21_S1_I13.jpg,0,0
C423_S1_I9.jpg,C195_S1_I5.jpg,0,1
C49_S2_I9.jpg,C251_S2_I12.jpg,0,2
C179_S1_I12.jpg,C205_S1_I3.jpg,0,1
C25_S1_I8.jpg,C403_S1_I12.jpg,0,1
C129_S1_I14.jpg,C313_S1_I8.jpg,0,0
C131_S2_I11.jpg,C227_S2_I3.jpg,0,2
C187_S2_I7.jpg,C133_S2_I5.jpg,0,2
C387_S1_I3.jpg,C289_S1_I9.jpg,0,1
C391_S1_I9.jpg,C109_S1_I6.jpg,0,0
C123_S2_I13.jpg,C245_S2_I15.jpg,0,2
C201_S2_I7.jpg,C519_S2_I3.jpg,0,2
C233_S2_I15.jpg,C133_S2_I11.jpg,0,2
C251_S1_I10.jpg,C21_S1_I12.jpg,0,0
C277_S1_I4.jpg,C299_S1_I2.jpg,0,1
C307_S1_I5.jpg,C1_S1_I10.jpg,0,1
C391_S1_I2.jpg,C267_S1_I10.jpg,0,1
C245_S2_I7.jpg,C151_S2_I4.jpg,0,2
C173_S2_I8.jpg,C391_S2_I8.jpg,0,2
C307_S1_I4.jpg,C91_S1_I9.jpg,0,0
C391_S2_I9.jpg,C177_S2_I11.jpg,0,2
C89_S2_I8.jpg,C91_S2_I6.jpg,0,2
C91_S2_I1.jpg,C107_S2_I11.jpg,0,2
C475_S1_I1.jpg,C499_S1_I6.jpg,0,1
C153_S2_I7.jpg,C419_S2_I14.jpg,0,2
C185_S2_I4.jpg,C441_S2_I10.jpg,0,2
C33_S1_I8.jpg,C45_S1_I4.jpg,0,1
C305_S2_I6.jpg,C361_S2_I12.jpg,0,2
C261_S2_I5.jpg,C499_S2_I11.jpg,0,2
C185_S2_I9.jpg,C317_S2_I5.jpg,0,2
C429_S1_I3.jpg,C133_S1_I5.jpg,0,0
C369_S2_I13.jpg,C61_S2_I5.jpg,0,2
C101_S2_I14.jpg,C369_S2_I10.jpg,0,2
C393_S2_I8.jpg,C187_S2_I5.jpg,0,2
C151_S2_I2.jpg,C499_S2_I6.jpg,0,2
C261_S2_I12.jpg,C199_S2_I2.jpg,0,2
C519_S1_I14.jpg,C345_S1_I1.jpg,0,0
C207_S1_I6.jpg,C63_S1_I11.jpg,0,1
C399_S1_I14.jpg,C521_S1_I9.jpg,0,1
